circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2711,0.2789
work,mask_work,c,0.3500,0.1873,0.5373
work,mask_work,e,0.5000,-0.3200,0.1800
work,mask_work,a,0.7500,-0.4726,0.2774
work,mask_work,n,0.3000,-0.4325,0.0000
home,mask_home,o,0.5500,-0.0509,0.4991
home,mask_home,c,0.3500,-0.4590,0.0000
home,mask_home,e,0.5000,0.0927,0.5927
home,mask_home,a,0.7500,-0.2271,0.5229
home,mask_home,n,0.3000,-0.4999,0.0000
conference,mask_conference,o,0.5500,0.0811,0.6311
conference,mask_conference,c,0.3500,-0.0575,0.2925
conference,mask_conference,e,0.5000,-0.0153,0.4847
conference,mask_conference,a,0.7500,-0.2637,0.4863
conference,mask_conference,n,0.3000,-0.5000,0.0000
