circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3706,0.1794
work,mask_work,c,0.3500,0.0489,0.3989
work,mask_work,e,0.5000,-0.4999,0.0001
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3301,0.0000
home,mask_home,o,0.5500,-0.3485,0.2015
home,mask_home,c,0.3500,-0.3198,0.0302
home,mask_home,e,0.5000,-0.2764,0.2236
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3585,0.0000
conference,mask_conference,o,0.5500,-0.2882,0.2618
conference,mask_conference,c,0.3500,-0.0370,0.3130
conference,mask_conference,e,0.5000,-0.3567,0.1433
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3800,0.0000
