circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3515,0.1985
work,mask_work,c,0.3500,0.0512,0.4012
work,mask_work,e,0.5000,-0.4806,0.0194
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3465,0.0000
home,mask_home,o,0.5500,-0.3973,0.1527
home,mask_home,c,0.3500,-0.3341,0.0159
home,mask_home,e,0.5000,-0.3515,0.1485
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3311,0.0000
conference,mask_conference,o,0.5500,-0.2344,0.3156
conference,mask_conference,c,0.3500,-0.1038,0.2462
conference,mask_conference,e,0.5000,-0.3417,0.1583
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.4045,0.0000
