circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2411,0.3089
work,mask_work,c,0.3500,0.2000,0.5500
work,mask_work,e,0.5000,-0.3170,0.1830
work,mask_work,a,0.7500,-0.4690,0.2810
work,mask_work,n,0.3000,-0.4339,0.0000
home,mask_home,o,0.5500,-0.0228,0.5272
home,mask_home,c,0.3500,-0.4245,0.0000
home,mask_home,e,0.5000,0.1245,0.6245
home,mask_home,a,0.7500,-0.2298,0.5202
home,mask_home,n,0.3000,-0.5000,0.0000
conference,mask_conference,o,0.5500,0.0075,0.5575
conference,mask_conference,c,0.3500,-0.0029,0.3471
conference,mask_conference,e,0.5000,-0.0276,0.4724
conference,mask_conference,a,0.7500,-0.2386,0.5114
conference,mask_conference,n,0.3000,-0.5000,0.0000
