circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2773,0.2727
work,mask_work,c,0.3500,0.1970,0.5470
work,mask_work,e,0.5000,-0.3259,0.1741
work,mask_work,a,0.7500,-0.4612,0.2888
work,mask_work,n,0.3000,-0.4368,0.0000
home,mask_home,o,0.5500,-0.0558,0.4942
home,mask_home,c,0.3500,-0.4301,0.0000
home,mask_home,e,0.5000,0.1064,0.6064
home,mask_home,a,0.7500,-0.1872,0.5628
home,mask_home,n,0.3000,-0.4987,0.0000
conference,mask_conference,o,0.5500,0.0332,0.5832
conference,mask_conference,c,0.3500,-0.0377,0.3123
conference,mask_conference,e,0.5000,-0.0233,0.4767
conference,mask_conference,a,0.7500,-0.2574,0.4926
conference,mask_conference,n,0.3000,-0.5000,0.0000
