circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2177,0.3323
work,mask_work,c,0.3500,0.1965,0.5465
work,mask_work,e,0.5000,-0.3143,0.1857
work,mask_work,a,0.7500,-0.4444,0.3056
work,mask_work,n,0.3000,-0.4401,0.0000
home,mask_home,o,0.5500,-0.0408,0.5092
home,mask_home,c,0.3500,-0.4788,0.0000
home,mask_home,e,0.5000,0.1045,0.6045
home,mask_home,a,0.7500,-0.2211,0.5289
home,mask_home,n,0.3000,-0.4999,0.0000
conference,mask_conference,o,0.5500,0.0416,0.5916
conference,mask_conference,c,0.3500,-0.0647,0.2853
conference,mask_conference,e,0.5000,0.0144,0.5144
conference,mask_conference,a,0.7500,-0.2421,0.5079
conference,mask_conference,n,0.3000,-0.5000,0.0000
