circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.4000,0.0000,0.4000
default,mask_default,c,-0.3500,0.0000,-0.3500
default,mask_default,e,0.2500,0.0000,0.2500
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,-0.6000,0.0000,-0.6000
work,mask_work,o,0.4000,0.0225,0.4225
work,mask_work,c,-0.3500,0.5000,0.1500
work,mask_work,e,0.2500,-0.5000,-0.2500
work,mask_work,a,0.7500,-0.4407,0.3093
work,mask_work,n,-0.6000,0.1432,-0.4568
home,mask_home,o,0.4000,-0.0460,0.3540
home,mask_home,c,-0.3500,-0.2997,-0.6497
home,mask_home,e,0.2500,0.4999,0.7499
home,mask_home,a,0.7500,0.2401,0.9901
home,mask_home,n,-0.6000,-0.1959,-0.7959
conference,mask_conference,o,0.4000,0.5000,0.9000
conference,mask_conference,c,-0.3500,0.4983,0.1483
conference,mask_conference,e,0.2500,0.4999,0.7499
conference,mask_conference,a,0.7500,-0.2809,0.4691
conference,mask_conference,n,-0.6000,-0.5000,-1.0000
