circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.4000,0.0000,0.4000
default,mask_default,c,-0.3500,0.0000,-0.3500
default,mask_default,e,0.2500,0.0000,0.2500
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,-0.6000,0.0000,-0.6000
work,mask_work,o,0.4000,0.0071,0.4071
work,mask_work,c,-0.3500,0.5000,0.1500
work,mask_work,e,0.2500,-0.5000,-0.2500
work,mask_work,a,0.7500,-0.4733,0.2767
work,mask_work,n,-0.6000,0.1613,-0.4387
home,mask_home,o,0.4000,0.0241,0.4241
home,mask_home,c,-0.3500,-0.4472,-0.7972
home,mask_home,e,0.2500,0.5000,0.7500
home,mask_home,a,0.7500,0.2230,0.9730
home,mask_home,n,-0.6000,-0.2461,-0.8461
conference,mask_conference,o,0.4000,0.5000,0.9000
conference,mask_conference,c,-0.3500,0.4995,0.1495
conference,mask_conference,e,0.2500,0.4991,0.7491
conference,mask_conference,a,0.7500,-0.2440,0.5060
conference,mask_conference,n,-0.6000,-0.5000,-1.0000
