circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2522,0.2978
work,mask_work,c,0.3500,0.2092,0.5592
work,mask_work,e,0.5000,-0.3228,0.1772
work,mask_work,a,0.7500,-0.4680,0.2820
work,mask_work,n,0.3000,-0.4351,0.0000
home,mask_home,o,0.5500,0.0039,0.5539
home,mask_home,c,0.3500,-0.4855,0.0000
home,mask_home,e,0.5000,0.1291,0.6291
home,mask_home,a,0.7500,-0.2755,0.4745
home,mask_home,n,0.3000,-0.5000,0.0000
conference,mask_conference,o,0.5500,0.0365,0.5865
conference,mask_conference,c,0.3500,-0.0176,0.3324
conference,mask_conference,e,0.5000,-0.0383,0.4617
conference,mask_conference,a,0.7500,-0.2575,0.4925
conference,mask_conference,n,0.3000,-0.5000,0.0000
