circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4409,0.1091
work,mask_work,c,0.3500,0.0133,0.3633
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3113,0.0000
home,mask_home,o,0.5500,-0.3649,0.1851
home,mask_home,c,0.3500,-0.3414,0.0086
home,mask_home,e,0.5000,-0.3064,0.1936
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3527,0.0000
conference,mask_conference,o,0.5500,-0.2765,0.2735
conference,mask_conference,c,0.3500,-0.0373,0.3127
conference,mask_conference,e,0.5000,-0.4007,0.0993
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3687,0.0000
