circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4158,0.1342
work,mask_work,c,0.3500,0.0195,0.3695
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3104,0.0000
home,mask_home,o,0.5500,-0.4291,0.1209
home,mask_home,c,0.3500,-0.2836,0.0664
home,mask_home,e,0.5000,-0.3561,0.1439
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3106,0.0000
conference,mask_conference,o,0.5500,-0.2947,0.2553
conference,mask_conference,c,0.3500,-0.0712,0.2788
conference,mask_conference,e,0.5000,-0.3715,0.1285
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3819,0.0000
