circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4114,0.1386
work,mask_work,c,0.3500,0.0297,0.3797
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3167,0.0000
home,mask_home,o,0.5500,-0.3619,0.1881
home,mask_home,c,0.3500,-0.3244,0.0256
home,mask_home,e,0.5000,-0.2803,0.2197
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3441,0.0000
conference,mask_conference,o,0.5500,-0.1861,0.3639
conference,mask_conference,c,0.3500,-0.0715,0.2785
conference,mask_conference,e,0.5000,-0.2722,0.2278
conference,mask_conference,a,0.7500,-0.4968,0.2532
conference,mask_conference,n,0.3000,-0.4149,0.0000
