circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2406,0.3094
work,mask_work,c,0.3500,0.2000,0.5500
work,mask_work,e,0.5000,-0.3209,0.1791
work,mask_work,a,0.7500,-0.4437,0.3063
work,mask_work,n,0.3000,-0.4411,0.0000
home,mask_home,o,0.5500,-0.0408,0.5092
home,mask_home,c,0.3500,-0.4734,0.0000
home,mask_home,e,0.5000,0.0907,0.5907
home,mask_home,a,0.7500,-0.2548,0.4952
home,mask_home,n,0.3000,-0.5000,0.0000
conference,mask_conference,o,0.5500,0.0359,0.5859
conference,mask_conference,c,0.3500,-0.0216,0.3284
conference,mask_conference,e,0.5000,-0.0318,0.4682
conference,mask_conference,a,0.7500,-0.2545,0.4955
conference,mask_conference,n,0.3000,-0.5000,0.0000
