circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4271,0.1229
work,mask_work,c,0.3500,0.0532,0.4032
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3300,0.0000
home,mask_home,o,0.5500,-0.3780,0.1720
home,mask_home,c,0.3500,-0.3381,0.0119
home,mask_home,e,0.5000,-0.3241,0.1759
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3438,0.0000
conference,mask_conference,o,0.5500,-0.2758,0.2742
conference,mask_conference,c,0.3500,-0.0523,0.2977
conference,mask_conference,e,0.5000,-0.3539,0.1461
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3871,0.0000
