circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2151,0.3349
work,mask_work,c,0.3500,0.1792,0.5292
work,mask_work,e,0.5000,-0.3117,0.1883
work,mask_work,a,0.7500,-0.4276,0.3224
work,mask_work,n,0.3000,-0.4433,0.0000
home,mask_home,o,0.5500,-0.0686,0.4814
home,mask_home,c,0.3500,-0.4087,0.0000
home,mask_home,e,0.5000,0.0964,0.5964
home,mask_home,a,0.7500,-0.1822,0.5678
home,mask_home,n,0.3000,-0.4914,0.0000
conference,mask_conference,o,0.5500,0.0421,0.5921
conference,mask_conference,c,0.3500,-0.0615,0.2885
conference,mask_conference,e,0.5000,-0.0271,0.4729
conference,mask_conference,a,0.7500,-0.2760,0.4740
conference,mask_conference,n,0.3000,-0.5000,0.0000
