circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2169,0.3331
work,mask_work,c,0.3500,0.1918,0.5418
work,mask_work,e,0.5000,-0.3065,0.1935
work,mask_work,a,0.7500,-0.4848,0.2652
work,mask_work,n,0.3000,-0.4281,0.0000
home,mask_home,o,0.5500,-0.0506,0.4994
home,mask_home,c,0.3500,-0.4360,0.0000
home,mask_home,e,0.5000,0.0948,0.5948
home,mask_home,a,0.7500,-0.2270,0.5230
home,mask_home,n,0.3000,-0.4999,0.0000
conference,mask_conference,o,0.5500,0.0333,0.5833
conference,mask_conference,c,0.3500,-0.0396,0.3104
conference,mask_conference,e,0.5000,-0.0249,0.4751
conference,mask_conference,a,0.7500,-0.2600,0.4900
conference,mask_conference,n,0.3000,-0.5000,0.0000
