circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4024,0.1476
work,mask_work,c,0.3500,-0.0052,0.3448
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3108,0.0000
home,mask_home,o,0.5500,-0.3735,0.1765
home,mask_home,c,0.3500,-0.3207,0.0293
home,mask_home,e,0.5000,-0.3030,0.1970
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3432,0.0000
conference,mask_conference,o,0.5500,-0.2521,0.2979
conference,mask_conference,c,0.3500,-0.0968,0.2532
conference,mask_conference,e,0.5000,-0.3432,0.1568
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3915,0.0000
