circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2241,0.3259
work,mask_work,c,0.3500,0.2074,0.5574
work,mask_work,e,0.5000,-0.3179,0.1821
work,mask_work,a,0.7500,-0.4498,0.3002
work,mask_work,n,0.3000,-0.4397,0.0000
home,mask_home,o,0.5500,-0.0470,0.5030
home,mask_home,c,0.3500,-0.4647,0.0000
home,mask_home,e,0.5000,0.0969,0.5969
home,mask_home,a,0.7500,-0.2261,0.5239
home,mask_home,n,0.3000,-0.5000,0.0000
conference,mask_conference,o,0.5500,0.0204,0.5704
conference,mask_conference,c,0.3500,0.0238,0.3738
conference,mask_conference,e,0.5000,-0.0619,0.4381
conference,mask_conference,a,0.7500,-0.2513,0.4987
conference,mask_conference,n,0.3000,-0.5000,0.0000
