circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.1000,0.0000,0.1000
default,mask_default,c,-0.3000,0.0000,-0.3000
default,mask_default,e,0.0000,0.0000,0.0000
default,mask_default,a,0.5000,0.0000,0.5000
default,mask_default,n,-0.4000,0.0000,-0.4000
work,mask_work,o,0.1000,0.0491,0.1491
work,mask_work,c,-0.3000,0.5000,0.2000
work,mask_work,e,0.0000,-0.0380,-0.0380
work,mask_work,a,0.5000,-0.4973,0.0027
work,mask_work,n,-0.4000,0.4019,0.0019
home,mask_home,o,0.1000,0.3170,0.4170
home,mask_home,c,-0.3000,0.3495,0.0495
home,mask_home,e,0.0000,0.4891,0.4891
home,mask_home,a,0.5000,-0.1559,0.3441
home,mask_home,n,-0.4000,0.2089,-0.1911
conference,mask_conference,o,0.1000,0.3201,0.4201
conference,mask_conference,c,-0.3000,0.5000,0.2000
conference,mask_conference,e,0.0000,0.3673,0.3673
conference,mask_conference,a,0.5000,-0.1229,0.3771
conference,mask_conference,n,-0.4000,0.2422,-0.1578
