circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3817,0.1683
work,mask_work,c,0.3500,0.0228,0.3728
work,mask_work,e,0.5000,-0.4529,0.0471
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3396,0.0000
home,mask_home,o,0.5500,-0.3272,0.2228
home,mask_home,c,0.3500,-0.3284,0.0216
home,mask_home,e,0.5000,-0.2482,0.2518
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3723,0.0000
conference,mask_conference,o,0.5500,-0.1313,0.4187
conference,mask_conference,c,0.3500,0.0234,0.3734
conference,mask_conference,e,0.5000,-0.2167,0.2833
conference,mask_conference,a,0.7500,-0.3892,0.3608
conference,mask_conference,n,0.3000,-0.4583,0.0000
