circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3736,0.1764
work,mask_work,c,0.3500,0.0124,0.3624
work,mask_work,e,0.5000,-0.4810,0.0190
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3361,0.0000
home,mask_home,o,0.5500,-0.3683,0.1817
home,mask_home,c,0.3500,-0.2996,0.0504
home,mask_home,e,0.5000,-0.2942,0.2058
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3479,0.0000
conference,mask_conference,o,0.5500,-0.1962,0.3538
conference,mask_conference,c,0.3500,0.0030,0.3530
conference,mask_conference,e,0.5000,-0.2740,0.2260
conference,mask_conference,a,0.7500,-0.4517,0.2983
conference,mask_conference,n,0.3000,-0.4105,0.0000
