circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3643,0.1857
work,mask_work,c,0.3500,0.0662,0.4162
work,mask_work,e,0.5000,-0.4792,0.0208
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3502,0.0000
home,mask_home,o,0.5500,-0.2975,0.2525
home,mask_home,c,0.3500,-0.3618,0.0000
home,mask_home,e,0.5000,-0.2133,0.2867
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3845,0.0000
conference,mask_conference,o,0.5500,-0.1290,0.4210
conference,mask_conference,c,0.3500,-0.0594,0.2906
conference,mask_conference,e,0.5000,-0.2226,0.2774
conference,mask_conference,a,0.7500,-0.4473,0.3027
conference,mask_conference,n,0.3000,-0.4427,0.0000
