circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3886,0.1614
work,mask_work,c,0.3500,0.0312,0.3812
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3371,0.0000
home,mask_home,o,0.5500,-0.3106,0.2394
home,mask_home,c,0.3500,-0.3263,0.0237
home,mask_home,e,0.5000,-0.2446,0.2554
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3840,0.0000
conference,mask_conference,o,0.5500,-0.2171,0.3329
conference,mask_conference,c,0.3500,0.0424,0.3924
conference,mask_conference,e,0.5000,-0.2656,0.2344
conference,mask_conference,a,0.7500,-0.4185,0.3315
conference,mask_conference,n,0.3000,-0.4296,0.0000
