circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4198,0.1302
work,mask_work,c,0.3500,0.0742,0.4242
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3261,0.0000
home,mask_home,o,0.5500,-0.3479,0.2021
home,mask_home,c,0.3500,-0.3271,0.0229
home,mask_home,e,0.5000,-0.2836,0.2164
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3592,0.0000
conference,mask_conference,o,0.5500,-0.1802,0.3698
conference,mask_conference,c,0.3500,-0.0277,0.3223
conference,mask_conference,e,0.5000,-0.2716,0.2284
conference,mask_conference,a,0.7500,-0.4686,0.2814
conference,mask_conference,n,0.3000,-0.4436,0.0000
