circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3561,0.1939
work,mask_work,c,0.3500,0.0482,0.3982
work,mask_work,e,0.5000,-0.4932,0.0068
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3280,0.0000
home,mask_home,o,0.5500,-0.3964,0.1536
home,mask_home,c,0.3500,-0.3407,0.0093
home,mask_home,e,0.5000,-0.3490,0.1510
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3342,0.0000
conference,mask_conference,o,0.5500,-0.2359,0.3141
conference,mask_conference,c,0.3500,-0.1108,0.2392
conference,mask_conference,e,0.5000,-0.3220,0.1780
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3962,0.0000
