circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3868,0.1632
work,mask_work,c,0.3500,0.0246,0.3746
work,mask_work,e,0.5000,-0.4827,0.0173
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3361,0.0000
home,mask_home,o,0.5500,-0.3764,0.1736
home,mask_home,c,0.3500,-0.2904,0.0596
home,mask_home,e,0.5000,-0.3210,0.1790
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3503,0.0000
conference,mask_conference,o,0.5500,-0.1810,0.3690
conference,mask_conference,c,0.3500,-0.1137,0.2363
conference,mask_conference,e,0.5000,-0.2346,0.2654
conference,mask_conference,a,0.7500,-0.4914,0.2586
conference,mask_conference,n,0.3000,-0.4451,0.0000
